"","TIME_PERIOD","Cna_produit","OBS_VALUE"
"1",2025-01-01,"Biens",-0.0282883270255543
"2",2025-01-01,"Biens manufacturés",-0.0166571340102195
"3",2025-01-01,"Biens industriels",-0.0277542278345455
"4",2024-10-01,"Biens",-0.0204014223498132
"5",2024-10-01,"Biens manufacturés",-0.011566107187325
"6",2024-10-01,"Biens industriels",-0.0201091773098232
"7",2024-07-01,"Biens",-0.0276567840664306
"8",2024-07-01,"Biens manufacturés",-0.0163603128546286
"9",2024-07-01,"Biens industriels",-0.0271770373944184
"10",2024-04-01,"Biens",-0.0286820465147072
"11",2024-04-01,"Biens manufacturés",-0.0130024358015939
"12",2024-04-01,"Biens industriels",-0.0294158214002963
"13",2024-01-01,"Biens",-0.0258795315052766
"14",2024-01-01,"Biens manufacturés",-0.0156670861482757
"15",2024-01-01,"Biens industriels",-0.027042765046143
"16",2023-10-01,"Biens",-0.0267020326173208
"17",2023-10-01,"Biens manufacturés",-0.0132344862411285
"18",2023-10-01,"Biens industriels",-0.0271473439468179
"19",2023-07-01,"Biens",-0.0336745950883603
"20",2023-07-01,"Biens manufacturés",-0.0173909988406001
"21",2023-07-01,"Biens industriels",-0.0343941257070583
"22",2023-04-01,"Biens",-0.0338633294930549
"23",2023-04-01,"Biens manufacturés",-0.0184121062181372
"24",2023-04-01,"Biens industriels",-0.0340430771669502
"25",2023-01-01,"Biens",-0.0467187918152426
"26",2023-01-01,"Biens manufacturés",-0.0297301402460635
"27",2023-01-01,"Biens industriels",-0.0468952747419661
"28",2022-10-01,"Biens",-0.0542961890837491
"29",2022-10-01,"Biens manufacturés",-0.0363150122328428
"30",2022-10-01,"Biens industriels",-0.0562475662887833
"31",2022-07-01,"Biens",-0.0702902466295557
"32",2022-07-01,"Biens manufacturés",-0.0370221243640424
"33",2022-07-01,"Biens industriels",-0.0733332634821513
"34",2022-04-01,"Biens",-0.063149251043228
"35",2022-04-01,"Biens manufacturés",-0.0351538055307107
"36",2022-04-01,"Biens industriels",-0.064791552829918
"37",2022-01-01,"Biens",-0.0486956253755952
"38",2022-01-01,"Biens manufacturés",-0.0283541612093009
"39",2022-01-01,"Biens industriels",-0.0494861087569533
"40",2021-10-01,"Biens",-0.0444262784249854
"41",2021-10-01,"Biens manufacturés",-0.0324222003953699
"42",2021-10-01,"Biens industriels",-0.0454364610660069
"43",2021-07-01,"Biens",-0.0318903853336556
"44",2021-07-01,"Biens manufacturés",-0.0242555876047921
"45",2021-07-01,"Biens industriels",-0.0320739971187074
"46",2021-04-01,"Biens",-0.0305728645170071
"47",2021-04-01,"Biens manufacturés",-0.0216440327017858
"48",2021-04-01,"Biens industriels",-0.0304157067078841
"49",2021-01-01,"Biens",-0.0288501613586082
"50",2021-01-01,"Biens manufacturés",-0.0215111863770174
"51",2021-01-01,"Biens industriels",-0.0289473554156034
"52",2020-10-01,"Biens",-0.020682000103177
"53",2020-10-01,"Biens manufacturés",-0.0162720145646013
"54",2020-10-01,"Biens industriels",-0.0206869925396358
"55",2020-07-01,"Biens",-0.0336515561161167
"56",2020-07-01,"Biens manufacturés",-0.0282744185110394
"57",2020-07-01,"Biens industriels",-0.0336180119014874
"58",2020-04-01,"Biens",-0.0376704171410245
"59",2020-04-01,"Biens manufacturés",-0.033279755128222
"60",2020-04-01,"Biens industriels",-0.0386344497230751
"61",2020-01-01,"Biens",-0.0216620582618221
"62",2020-01-01,"Biens manufacturés",-0.0162052299006254
"63",2020-01-01,"Biens industriels",-0.0224712975598454
"64",2019-10-01,"Biens",-0.0221345480234786
"65",2019-10-01,"Biens manufacturés",-0.0135767521681334
"66",2019-10-01,"Biens industriels",-0.0226656198214353
"67",2019-07-01,"Biens",-0.0244999574710312
"68",2019-07-01,"Biens manufacturés",-0.0148115312391633
"69",2019-07-01,"Biens industriels",-0.0250053979075747
"70",2019-04-01,"Biens",-0.0219928790588544
"71",2019-04-01,"Biens manufacturés",-0.0100907345726615
"72",2019-04-01,"Biens industriels",-0.0227345070306988
"73",2019-01-01,"Biens",-0.0209705627834559
"74",2019-01-01,"Biens manufacturés",-0.00917979188280047
"75",2019-01-01,"Biens industriels",-0.0216621909390093
"76",2018-10-01,"Biens",-0.0207399938699525
"77",2018-10-01,"Biens manufacturés",-0.00933743566381212
"78",2018-10-01,"Biens industriels",-0.0213529986148773
"79",2018-07-01,"Biens",-0.0234051689161775
"80",2018-07-01,"Biens manufacturés",-0.010954531930432
"81",2018-07-01,"Biens industriels",-0.0240526358497201
"82",2018-04-01,"Biens",-0.0283449714585444
"83",2018-04-01,"Biens manufacturés",-0.0177074915127399
"84",2018-04-01,"Biens industriels",-0.029001057597187
"85",2018-01-01,"Biens",-0.0259765206280603
"86",2018-01-01,"Biens manufacturés",-0.0138406524143963
"87",2018-01-01,"Biens industriels",-0.0261857597351925
"88",2017-10-01,"Biens",-0.0231208595868113
"89",2017-10-01,"Biens manufacturés",-0.0117697112088715
"90",2017-10-01,"Biens industriels",-0.0235411448985287
"91",2017-07-01,"Biens",-0.0250507821316342
"92",2017-07-01,"Biens manufacturés",-0.0156061737182937
"93",2017-07-01,"Biens industriels",-0.025514331846039
"94",2017-04-01,"Biens",-0.0209880602967259
"95",2017-04-01,"Biens manufacturés",-0.00910957730022074
"96",2017-04-01,"Biens industriels",-0.020755423242016
"97",2017-01-01,"Biens",-0.0282635885694904
"98",2017-01-01,"Biens manufacturés",-0.015053068204302
"99",2017-01-01,"Biens industriels",-0.0277247802368637
"100",2016-10-01,"Biens",-0.0208662955279629
"101",2016-10-01,"Biens manufacturés",-0.00866902002614976
"102",2016-10-01,"Biens industriels",-0.0203400895798736
"103",2016-07-01,"Biens",-0.0205389822415529
"104",2016-07-01,"Biens manufacturés",-0.00968430424691296
"105",2016-07-01,"Biens industriels",-0.0203576820137609
"106",2016-04-01,"Biens",-0.0154358151949906
"107",2016-04-01,"Biens manufacturés",-0.00933240459258699
"108",2016-04-01,"Biens industriels",-0.0165319452618923
"109",2016-01-01,"Biens",-0.0188303776662462
"110",2016-01-01,"Biens manufacturés",-0.011726369167993
"111",2016-01-01,"Biens industriels",-0.0199554631242923
"112",2015-10-01,"Biens",-0.0185536416772737
"113",2015-10-01,"Biens manufacturés",-0.0102693171697358
"114",2015-10-01,"Biens industriels",-0.0196534105455214
"115",2015-07-01,"Biens",-0.0174735416689296
"116",2015-07-01,"Biens manufacturés",-0.00809047427667286
"117",2015-07-01,"Biens industriels",-0.0189326873988464
"118",2015-04-01,"Biens",-0.0167212075273676
"119",2015-04-01,"Biens manufacturés",-0.00534597612349314
"120",2015-04-01,"Biens industriels",-0.0183155255601067
"121",2015-01-01,"Biens",-0.0192078433093441
"122",2015-01-01,"Biens manufacturés",-0.00755514598326605
"123",2015-01-01,"Biens industriels",-0.0206651161429992
"124",2014-10-01,"Biens",-0.0215834238714402
"125",2014-10-01,"Biens manufacturés",-0.00935201769320586
"126",2014-10-01,"Biens industriels",-0.0231218031132812
"127",2014-07-01,"Biens",-0.0290560744213518
"128",2014-07-01,"Biens manufacturés",-0.0149138026505224
"129",2014-07-01,"Biens industriels",-0.0305751412012256
"130",2014-04-01,"Biens",-0.0265571684261054
"131",2014-04-01,"Biens manufacturés",-0.0105826799781202
"132",2014-04-01,"Biens industriels",-0.0278260481281234
"133",2014-01-01,"Biens",-0.026085282690234
"134",2014-01-01,"Biens manufacturés",-0.008957354917201
"135",2014-01-01,"Biens industriels",-0.0277578953860185
"136",2013-10-01,"Biens",-0.0294770539083507
"137",2013-10-01,"Biens manufacturés",-0.012968102333733
"138",2013-10-01,"Biens industriels",-0.0314285553447684
"139",2013-07-01,"Biens",-0.0296385655718392
"140",2013-07-01,"Biens manufacturés",-0.00982046086423826
"141",2013-07-01,"Biens industriels",-0.031544225060082
"142",2013-04-01,"Biens",-0.0236612608823021
"143",2013-04-01,"Biens manufacturés",-0.00375199993990791
"144",2013-04-01,"Biens industriels",-0.0259804400243373
"145",2013-01-01,"Biens",-0.026859312069237
"146",2013-01-01,"Biens manufacturés",-0.00692635600824864
"147",2013-01-01,"Biens industriels",-0.0299971353608402
"148",2012-10-01,"Biens",-0.0299743240971405
"149",2012-10-01,"Biens manufacturés",-0.0101347220736348
"150",2012-10-01,"Biens industriels",-0.0329622044596598
"151",2012-07-01,"Biens",-0.0301328051433581
"152",2012-07-01,"Biens manufacturés",-0.00910707498247538
"153",2012-07-01,"Biens industriels",-0.0319855448105144
"154",2012-04-01,"Biens",-0.0346400583896742
"155",2012-04-01,"Biens manufacturés",-0.0140884296250768
"156",2012-04-01,"Biens industriels",-0.0360633066994468
"157",2012-01-01,"Biens",-0.0356492983700049
"158",2012-01-01,"Biens manufacturés",-0.0138404514719531
"159",2012-01-01,"Biens industriels",-0.0371346057402422
"160",2011-10-01,"Biens",-0.0318529472930194
"161",2011-10-01,"Biens manufacturés",-0.0109161140251558
"162",2011-10-01,"Biens industriels",-0.0341424621238379
"163",2011-07-01,"Biens",-0.0367105942049788
"164",2011-07-01,"Biens manufacturés",-0.0174688582590108
"165",2011-07-01,"Biens industriels",-0.0389877915840682
"166",2011-04-01,"Biens",-0.035372046895408
"167",2011-04-01,"Biens manufacturés",-0.0173492765781846
"168",2011-04-01,"Biens industriels",-0.0380290380913265
"169",2011-01-01,"Biens",-0.0411439589692347
"170",2011-01-01,"Biens manufacturés",-0.0203865760076191
"171",2011-01-01,"Biens industriels",-0.0434605266239393
"172",2010-10-01,"Biens",-0.0302068162536236
"173",2010-10-01,"Biens manufacturés",-0.0151083753727918
"174",2010-10-01,"Biens industriels",-0.0320009855016024
"175",2010-07-01,"Biens",-0.0303265987424243
"176",2010-07-01,"Biens manufacturés",-0.0132837163295383
"177",2010-07-01,"Biens industriels",-0.0317724318514043
"178",2010-04-01,"Biens",-0.0263892382456811
"179",2010-04-01,"Biens manufacturés",-0.00842145509060359
"180",2010-04-01,"Biens industriels",-0.0275040497439354
"181",2010-01-01,"Biens",-0.0224598126588347
"182",2010-01-01,"Biens manufacturés",-0.00588920015357831
"183",2010-01-01,"Biens industriels",-0.0233170884314494
"184",2009-10-01,"Biens",-0.0290459488329643
"185",2009-10-01,"Biens manufacturés",-0.0130782484846749
"186",2009-10-01,"Biens industriels",-0.0296066498319943
"187",2009-07-01,"Biens",-0.0172534322789339
"188",2009-07-01,"Biens manufacturés",-0.00213237696950142
"189",2009-07-01,"Biens industriels",-0.0184468188079372
"190",2009-04-01,"Biens",-0.0194649622389681
"191",2009-04-01,"Biens manufacturés",-0.00374916063567858
"192",2009-04-01,"Biens industriels",-0.02041209679425
"193",2009-01-01,"Biens",-0.0246733855916387
"194",2009-01-01,"Biens manufacturés",-0.0099290780141844
"195",2009-01-01,"Biens industriels",-0.0256231595537307
"196",2008-10-01,"Biens",-0.0300273787995949
"197",2008-10-01,"Biens manufacturés",-0.00885295210029287
"198",2008-10-01,"Biens industriels",-0.0317606252676486
"199",2008-07-01,"Biens",-0.0326988549679616
"200",2008-07-01,"Biens manufacturés",-0.00664857312627471
"201",2008-07-01,"Biens industriels",-0.0346199553549921
"202",2008-04-01,"Biens",-0.0288938680946922
"203",2008-04-01,"Biens manufacturés",-0.00569981000633312
"204",2008-04-01,"Biens industriels",-0.0310002324817021
"205",2008-01-01,"Biens",-0.0228278677033138
"206",2008-01-01,"Biens manufacturés",-0.000795109973523038
"207",2008-01-01,"Biens industriels",-0.0242298248354703
"208",2007-10-01,"Biens",-0.0286916859850975
"209",2007-10-01,"Biens manufacturés",-0.00734948415210237
"210",2007-10-01,"Biens industriels",-0.0294121837391391
"211",2007-07-01,"Biens",-0.025250588927547
"212",2007-07-01,"Biens manufacturés",-0.00787081933199522
"213",2007-07-01,"Biens industriels",-0.0264356198142085
"214",2007-04-01,"Biens",-0.0224216453442637
"215",2007-04-01,"Biens manufacturés",-0.00453773858319877
"216",2007-04-01,"Biens industriels",-0.0234567134517451
"217",2007-01-01,"Biens",-0.0183614664864468
"218",2007-01-01,"Biens manufacturés",-0.00307421494357653
"219",2007-01-01,"Biens industriels",-0.0199331510179277
"220",2006-10-01,"Biens",-0.0183464374248598
"221",2006-10-01,"Biens manufacturés",-0.000842633869200243
"222",2006-10-01,"Biens industriels",-0.0196550733580875
"223",2006-07-01,"Biens",-0.0193895747156848
"224",2006-07-01,"Biens manufacturés",-0.000720602122227026
"225",2006-07-01,"Biens industriels",-0.0200499474068003
"226",2006-04-01,"Biens",-0.0165531623708821
"227",2006-04-01,"Biens manufacturés",0.00280447934656283
"228",2006-04-01,"Biens industriels",-0.0175198496746934
"229",2006-01-01,"Biens",-0.0172433968387842
"230",2006-01-01,"Biens manufacturés",0.00412428492891791
"231",2006-01-01,"Biens industriels",-0.0183142095746114
"232",2005-10-01,"Biens",-0.0186589768523176
"233",2005-10-01,"Biens manufacturés",-0.000757804379170439
"234",2005-10-01,"Biens industriels",-0.0197431512590953
"235",2005-07-01,"Biens",-0.0147957477197328
"236",2005-07-01,"Biens manufacturés",0.00204523471610786
"237",2005-07-01,"Biens industriels",-0.0156025419668604
"238",2005-04-01,"Biens",-0.0130280272955123
"239",2005-04-01,"Biens manufacturés",0.00130120195386107
"240",2005-04-01,"Biens industriels",-0.0138238414957648
"241",2005-01-01,"Biens",-0.0133940314073308
"242",2005-01-01,"Biens manufacturés",0.00119288789622567
"243",2005-01-01,"Biens industriels",-0.0144830896027245
"244",2004-10-01,"Biens",-0.00859185992735149
"245",2004-10-01,"Biens manufacturés",0.00542191214782554
"246",2004-10-01,"Biens industriels",-0.00977245631444766
"247",2004-07-01,"Biens",-0.00866949752300071
"248",2004-07-01,"Biens manufacturés",0.00389478650625147
"249",2004-07-01,"Biens industriels",-0.0100070771408351
"250",2004-04-01,"Biens",-0.00324453064833566
"251",2004-04-01,"Biens manufacturés",0.00907993192428002
"252",2004-04-01,"Biens industriels",-0.00413113133099442
"253",2004-01-01,"Biens",0.000808442241824688
"254",2004-01-01,"Biens manufacturés",0.0124901934520962
"255",2004-01-01,"Biens industriels",1.19592047607202e-05
"256",2003-10-01,"Biens",0.00302140464980828
"257",2003-10-01,"Biens manufacturés",0.0148886084550794
"258",2003-10-01,"Biens industriels",0.00237586759209824
"259",2003-07-01,"Biens",-1.46723660657518e-05
"260",2003-07-01,"Biens manufacturés",0.0105054141030783
"261",2003-07-01,"Biens industriels",-0.0012153609891131
"262",2003-04-01,"Biens",-0.00145715685323745
"263",2003-04-01,"Biens manufacturés",0.00902890193533307
"264",2003-04-01,"Biens industriels",-0.00272781752218683
"265",2003-01-01,"Biens",-0.00173799587661723
"266",2003-01-01,"Biens manufacturés",0.00998974134239017
"267",2003-01-01,"Biens industriels",-0.00316723603876378
"268",2002-10-01,"Biens",0.00378789775429988
"269",2002-10-01,"Biens manufacturés",0.0128833587862704
"270",2002-10-01,"Biens industriels",0.00222066444683674
"271",2002-07-01,"Biens",0.00380791785165983
"272",2002-07-01,"Biens manufacturés",0.0141846827574057
"273",2002-07-01,"Biens industriels",0.00271059320967458
"274",2002-04-01,"Biens",0.00635660530335571
"275",2002-04-01,"Biens manufacturés",0.0174787583651248
"276",2002-04-01,"Biens industriels",0.00528658097999995
"277",2002-01-01,"Biens",-0.000497193674876342
"278",2002-01-01,"Biens manufacturés",0.00979266511186858
"279",2002-01-01,"Biens industriels",-0.00156590379046106
"280",2001-10-01,"Biens",0.00132473680253644
"281",2001-10-01,"Biens manufacturés",0.0124981528865522
"282",2001-10-01,"Biens industriels",0.000650702421598135
"283",2001-07-01,"Biens",0.00179423663150898
"284",2001-07-01,"Biens manufacturés",0.0142266606426016
"285",2001-07-01,"Biens industriels",0.000986700318340682
"286",2001-04-01,"Biens",-0.00118508885544538
"287",2001-04-01,"Biens manufacturés",0.0127501927080329
"288",2001-04-01,"Biens industriels",-0.00230725263892021
"289",2001-01-01,"Biens",-3.95805517001166e-05
"290",2001-01-01,"Biens manufacturés",0.0131275496472053
"291",2001-01-01,"Biens industriels",-0.000823275475362426
"292",2000-10-01,"Biens",-0.00830853108577939
"293",2000-10-01,"Biens manufacturés",0.00731555380446068
"294",2000-10-01,"Biens industriels",-0.00949052012842151
"295",2000-07-01,"Biens",-0.00894154495258802
"296",2000-07-01,"Biens manufacturés",0.00441561097417904
"297",2000-07-01,"Biens industriels",-0.0103084738830469
"298",2000-04-01,"Biens",-0.000411916667348648
"299",2000-04-01,"Biens manufacturés",0.0104725038804732
"300",2000-04-01,"Biens industriels",-0.00230782450713216
"301",2000-01-01,"Biens",-0.000638825666964417
"302",2000-01-01,"Biens manufacturés",0.0108074922359175
"303",2000-01-01,"Biens industriels",-0.00235065721610283
"304",1999-10-01,"Biens",0.00571137576632314
"305",1999-10-01,"Biens manufacturés",0.0138142142919441
"306",1999-10-01,"Biens industriels",0.00406830017640555
"307",1999-07-01,"Biens",0.0135346114436253
"308",1999-07-01,"Biens manufacturés",0.0199365796992245
"309",1999-07-01,"Biens industriels",0.0117821332853828
"310",1999-04-01,"Biens",0.00951840572493892
"311",1999-04-01,"Biens manufacturés",0.014529464213342
"312",1999-04-01,"Biens industriels",0.00789147627925289
"313",1999-01-01,"Biens",0.0101042511361449
"314",1999-01-01,"Biens manufacturés",0.0134149685263078
"315",1999-01-01,"Biens industriels",0.00851744033416369
"316",1998-10-01,"Biens",0.0123440821018159
"317",1998-10-01,"Biens manufacturés",0.0166185034821541
"318",1998-10-01,"Biens industriels",0.0111387775860396
"319",1998-07-01,"Biens",0.0151139170037489
"320",1998-07-01,"Biens manufacturés",0.0198281324955138
"321",1998-07-01,"Biens industriels",0.0131210357060367
"322",1998-04-01,"Biens",0.0144115887861592
"323",1998-04-01,"Biens manufacturés",0.0199554231674547
"324",1998-04-01,"Biens industriels",0.013265922529155
"325",1998-01-01,"Biens",0.0161453532190117
"326",1998-01-01,"Biens manufacturés",0.0218264036728652
"327",1998-01-01,"Biens industriels",0.0149022480985596
"328",1997-10-01,"Biens",0.0178856002822281
"329",1997-10-01,"Biens manufacturés",0.0257016167293164
"330",1997-10-01,"Biens industriels",0.0164714183180663
"331",1997-07-01,"Biens",0.0173100929307874
"332",1997-07-01,"Biens manufacturés",0.0252932020281412
"333",1997-07-01,"Biens industriels",0.0159045725646123
"334",1997-04-01,"Biens",0.0210091634385663
"335",1997-04-01,"Biens manufacturés",0.0273468445708654
"336",1997-04-01,"Biens industriels",0.0190317570222879
"337",1997-01-01,"Biens",0.0150043321253976
"338",1997-01-01,"Biens manufacturés",0.0227958335704935
"339",1997-01-01,"Biens industriels",0.0134896693038875
"340",1996-10-01,"Biens",0.00929272727851749
"341",1996-10-01,"Biens manufacturés",0.0172733902531456
"342",1996-10-01,"Biens industriels",0.00711444576429338
"343",1996-07-01,"Biens",0.00719274837859197
"344",1996-07-01,"Biens manufacturés",0.01315684222988
"345",1996-07-01,"Biens industriels",0.00570812415809968
"346",1996-04-01,"Biens",0.00480843404474158
"347",1996-04-01,"Biens manufacturés",0.0120821547955773
"348",1996-04-01,"Biens industriels",0.00394060169709437
"349",1996-01-01,"Biens",0.00762185771886612
"350",1996-01-01,"Biens manufacturés",0.0124512940371311
"351",1996-01-01,"Biens industriels",0.0059980566038345
"352",1995-10-01,"Biens",0.00488675907004681
"353",1995-10-01,"Biens manufacturés",0.00983227676618637
"354",1995-10-01,"Biens industriels",0.00387480495400505
"355",1995-07-01,"Biens",0.00123001633461692
"356",1995-07-01,"Biens manufacturés",0.00575319640244822
"357",1995-07-01,"Biens industriels",-0.000134481785918117
"358",1995-04-01,"Biens",0.00547968691271406
"359",1995-04-01,"Biens manufacturés",0.00962736810175996
"360",1995-04-01,"Biens industriels",0.00390040289876097
"361",1995-01-01,"Biens",0.00677108473842774
"362",1995-01-01,"Biens manufacturés",0.010892325105278
"363",1995-01-01,"Biens industriels",0.00553937315867441
"364",1994-10-01,"Biens",0.00356867607144054
"365",1994-10-01,"Biens manufacturés",0.00925175082934021
"366",1994-10-01,"Biens industriels",0.00261367824950575
"367",1994-07-01,"Biens",0.000912941368122395
"368",1994-07-01,"Biens manufacturés",0.00654670594463978
"369",1994-07-01,"Biens industriels",0.000264719058414672
"370",1994-04-01,"Biens",0.00204045239744583
"371",1994-04-01,"Biens manufacturés",0.00825440154731449
"372",1994-04-01,"Biens industriels",0.000970500888196926
"373",1994-01-01,"Biens",0.00082396951660455
"374",1994-01-01,"Biens manufacturés",0.00617803304222062
"375",1994-01-01,"Biens industriels",-0.00102213940034489
"376",1993-10-01,"Biens",0.00501032568870065
"377",1993-10-01,"Biens manufacturés",0.00947368790123803
"378",1993-10-01,"Biens industriels",0.00239822447240815
"379",1993-07-01,"Biens",0.00432627214261537
"380",1993-07-01,"Biens manufacturés",0.00853618977772763
"381",1993-07-01,"Biens industriels",0.00112476023919666
"382",1993-04-01,"Biens",0.00336743167081854
"383",1993-04-01,"Biens manufacturés",0.00724722178053391
"384",1993-04-01,"Biens industriels",-7.77371424533135e-05
"385",1993-01-01,"Biens",0.00308028933476372
"386",1993-01-01,"Biens manufacturés",0.00870978363622845
"387",1993-01-01,"Biens industriels",0.000258461059123852
"388",1992-10-01,"Biens",-0.00498248484094102
"389",1992-10-01,"Biens manufacturés",0.000505005601294521
"390",1992-10-01,"Biens industriels",-0.00782403044259118
"391",1992-07-01,"Biens",-0.004870632719401
"392",1992-07-01,"Biens manufacturés",0.000323996767153137
"393",1992-07-01,"Biens industriels",-0.00800378826989287
"394",1992-04-01,"Biens",-0.0038764675198468
"395",1992-04-01,"Biens manufacturés",0.00179353612438995
"396",1992-04-01,"Biens industriels",-0.00738136580276819
"397",1992-01-01,"Biens",-0.00671474846537932
"398",1992-01-01,"Biens manufacturés",-0.000239812445192118
"399",1992-01-01,"Biens industriels",-0.00967840077312669
"400",1991-10-01,"Biens",-0.0107248735685636
"401",1991-10-01,"Biens manufacturés",-0.00222708248561297
"402",1991-10-01,"Biens industriels",-0.0134751206184968
"403",1991-07-01,"Biens",-0.0132723229684209
"404",1991-07-01,"Biens manufacturés",-0.00354466795341294
"405",1991-07-01,"Biens industriels",-0.0152795003706123
"406",1991-04-01,"Biens",-0.0147959580688551
"407",1991-04-01,"Biens manufacturés",-0.00678472307139337
"408",1991-04-01,"Biens industriels",-0.0173638516179953
"409",1991-01-01,"Biens",-0.0204589262163574
"410",1991-01-01,"Biens manufacturés",-0.0120987589378642
"411",1991-01-01,"Biens industriels",-0.0233258060516339
"412",1990-10-01,"Biens",-0.0201667562798658
"413",1990-10-01,"Biens manufacturés",-0.00855364296586873
"414",1990-10-01,"Biens industriels",-0.022370483684087
"415",1990-07-01,"Biens",-0.0188175014963269
"416",1990-07-01,"Biens manufacturés",-0.0112882135191701
"417",1990-07-01,"Biens industriels",-0.022199009565055
"418",1990-04-01,"Biens",-0.0171418052967028
"419",1990-04-01,"Biens manufacturés",-0.0105420185146837
"420",1990-04-01,"Biens industriels",-0.0210341839043434
"421",1990-01-01,"Biens",-0.0151516917899515
"422",1990-01-01,"Biens manufacturés",-0.00728633549786073
"423",1990-01-01,"Biens industriels",-0.0198149465085823
"424",1989-10-01,"Biens",-0.0220054473209478
"425",1989-10-01,"Biens manufacturés",-0.0118614824101841
"426",1989-10-01,"Biens industriels",-0.0249216898485676
"427",1989-07-01,"Biens",-0.0180999831516114
"428",1989-07-01,"Biens manufacturés",-0.0121468858561789
"429",1989-07-01,"Biens industriels",-0.0219309857911923
"430",1989-04-01,"Biens",-0.0204306787071467
"431",1989-04-01,"Biens manufacturés",-0.0129040166714338
"432",1989-04-01,"Biens industriels",-0.0240591672455359
"433",1989-01-01,"Biens",-0.0170847311435574
"434",1989-01-01,"Biens manufacturés",-0.0106074617148592
"435",1989-01-01,"Biens industriels",-0.0210490522535673
"436",1988-10-01,"Biens",-0.0187971038410921
"437",1988-10-01,"Biens manufacturés",-0.0127881242250744
"438",1988-10-01,"Biens industriels",-0.0228849026502985
"439",1988-07-01,"Biens",-0.0160686238975474
"440",1988-07-01,"Biens manufacturés",-0.00933309169989126
"441",1988-07-01,"Biens industriels",-0.0188344638326516
"442",1988-04-01,"Biens",-0.0127091867622949
"443",1988-04-01,"Biens manufacturés",-0.00638552672862174
"444",1988-04-01,"Biens industriels",-0.0162400074240034
"445",1988-01-01,"Biens",-0.0140427747948354
"446",1988-01-01,"Biens manufacturés",-0.00655898144988956
"447",1988-01-01,"Biens industriels",-0.0165837628171746
"448",1987-10-01,"Biens",-0.0156914893617021
"449",1987-10-01,"Biens manufacturés",-0.00591526045487894
"450",1987-10-01,"Biens industriels",-0.0187866837857667
"451",1987-07-01,"Biens",-0.0106540770443709
"452",1987-07-01,"Biens manufacturés",-0.000842219529199283
"453",1987-07-01,"Biens industriels",-0.0134848704619574
"454",1987-04-01,"Biens",-0.0155164306985006
"455",1987-04-01,"Biens manufacturés",-0.00601754444291407
"456",1987-04-01,"Biens industriels",-0.0174114585064901
"457",1987-01-01,"Biens",-0.0153844665734861
